E,T,T_puan,E_puan,Total_Wrong
absent-minded,"unutkan,dalgın",,,
accerelate,"hızlandırmak,gaza basmak",,,
addict,"alıştırmak,bağımlılık yaratmak",,,
administer,uygulamak,,,
adore,"çılgınca sevmek,tapmak",,,
aerial,havai,,,
airborne,havadan taşınan,,,
alliance,ittifak,,,
allies,"müttefikler,itilaf devletleri",,,
ally,"müttefik,ittifak kurmak,ülkelerin birleşmesi",,,
almond,badem,,,
among,arasında,,,
amongst,aralarında,,,
annoy,"can sıkmak,rahatsız etmek",,,
annoying,"gıcık,can sıkıcı,taciz",,,
approximator,yaklaşımcı,,,
arise,ortaya çıkmak,,,
artifact,insan eliyle yapılan şey,,,
attempt,"girişimde bulunmak,girişim,teşebbüs,denemek",,,
bachelor,"lisans mezunu,bekar erkek",,,
bargain,"pazarlıkçı,kelepir,pazarlık",,,
battler,savaşçı,,,
beekeeping,arıcılık,,,
bottleneck,"darboğaz,yavaşlatmak",,,
boundary,"sınır,limit",,,
brewery,bira fabrikası,,,
broil,"ızgara,kızartmak",,,
build on,"dayandırılmak,dayandırmak",,,
bully,"zorba,kabadayı",,,
bump,"çarpışmak,tümsek",,,
